"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Rushing","","","","","Passing","","","","","","Total Off.","","Receiving","","","Pass Int","","","Fumble Ret","","","Punting","","Punt Ret","","","KO Ret","","","Total TD","Off xpts","","","","Def xpts","","","","FG","","Saf","Points"
"","","","","","","Rushes","Gain","Loss","Net","TD","Att","Cmp","Int","Yards","TD","Conv","Plays","Yards","No.","Yards","TD","No.","Yards","TD","No.","Yards","TD","No.","Yards","No.","Yards","TD","No.","Yards","TD","","Kicks Att","Kicks Made","R/P Att","R/P Made","Kicks Att","Kicks Made","Int/Fum Att","Int/Fum Made","Att","Made"
"721","Air Force","11/19/05","18","HANDLEY","JUSTIN","1","0","0","0","0","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/05","30","HEATON","DONNY","1","6","0","6","0","","","","","","","1","6","","","","","","","","","","2","60","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/05","30","HEATON","DONNY","1","0","2","-2","0","","","","","","","1","-2","","","","","","","","","","2","74","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/17/05","30","HEATON","DONNY","","","","","","","","","","","","0","0","","","","","","","","","","4","144","","","","","","","","","","1","0","","","","","","","","0"
"721","Air Force","09/22/05","30","HEATON","DONNY","","","","","","","","","","","","0","0","","","","","","","","","","5","209","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/29/05","30","HEATON","DONNY","","","","","","","","","","","","0","0","","","","","","","","","","5","232","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/05","30","HEATON","DONNY","","","","","","","","","","","","0","0","","","","","","","","","","6","226","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/05/05","30","HEATON","DONNY","","","","","","","","","","","","0","0","","","","","","","","","","1","39","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/19/05","30","HEATON","DONNY","","","","","","","","","","","","0","0","","","","","","","","","","3","114","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/05","8","KENDRICK","JACOBE","11","52","1","51","0","","","","","","","11","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/05","8","KENDRICK","JACOBE","26","130","2","128","4","","","","","","","26","128","2","39","0","","","","","","","","","","","","","","","4","","","","","","","","","","","","24"
"721","Air Force","09/17/05","8","KENDRICK","JACOBE","17","66","0","66","0","","","","","","","17","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/22/05","8","KENDRICK","JACOBE","9","44","1","43","0","","","","","","","9","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/29/05","8","KENDRICK","JACOBE","6","16","0","16","0","","","","","","","6","16","1","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/05","8","KENDRICK","JACOBE","11","50","0","50","0","","","","","","","11","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/05","8","KENDRICK","JACOBE","1","1","0","1","0","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/05","8","KENDRICK","JACOBE","2","21","0","21","0","","","","","","","2","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/05/05","8","KENDRICK","JACOBE","15","68","1","67","0","","","","","","","15","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/19/05","8","KENDRICK","JACOBE","18","89","0","89","2","","","","","","","18","89","","","","","","","","","","","","","","","","","","2","","","1","1","","","","","","","","14"
"721","Air Force","09/03/05","85","KIRKWOOD","GREG","1","9","0","9","0","","","","","","","1","9","6","134","1","","","","","","","","","","","","2","37","0","1","","","","","","","","","","","","6"
"721","Air Force","09/10/05","85","KIRKWOOD","GREG","","","","","","","","","","","","0","0","1","9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/17/05","85","KIRKWOOD","GREG","2","18","2","16","0","","","","","","","2","16","1","13","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/22/05","85","KIRKWOOD","GREG","1","10","0","10","1","","","","","","","1","10","3","42","0","","","","","","","","","","","","2","43","0","1","","","","","","","","","","","","6"
"721","Air Force","09/29/05","85","KIRKWOOD","GREG","1","4","0","4","0","","","","","","","1","4","1","22","0","","","","","","","","","","","","1","16","0","","","","","","","","","","","","","0"
"721","Air Force","10/08/05","85","KIRKWOOD","GREG","","","","","","","","","","","","0","0","3","65","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/15/05","85","KIRKWOOD","GREG","","","","","","","","","","","","0","0","4","42","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/05","85","KIRKWOOD","GREG","","","","","","","","","","","","0","0","4","48","0","","","","","","","","","","","","2","43","0","","","","","","","","","","","","","0"
"721","Air Force","10/29/05","85","KIRKWOOD","GREG","1","44","0","44","0","","","","","","","1","44","2","74","1","","","","","","","","","","","","3","102","0","1","","","","","","","","","","","","6"
"721","Air Force","11/05/05","85","KIRKWOOD","GREG","1","3","0","3","0","","","","","","","1","3","3","52","0","","","","","","","","","","","","3","63","0","","","","","","","","","","","","","0"
"721","Air Force","11/19/05","85","KIRKWOOD","GREG","1","5","0","5","0","","","","","","","1","5","2","54","1","","","","","","","","","","","","1","51","0","1","","","","","","","","","","","","6"
"721","Air Force","09/17/05","72","KRAAY","ROBERT","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","2"
"721","Air Force","09/10/05","4","MADRID","JULIAN","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","14","0","","","","","","","","","","","","","0"
"721","Air Force","09/29/05","4","MADRID","JULIAN","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","0","0","","","","","","","","","","","","","0"
"721","Air Force","10/08/05","4","MADRID","JULIAN","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","1","0","","","","","","","","","","","","","0"
"721","Air Force","09/10/05","17","MCCARTHY","KIP","1","9","0","9","0","","","","","","","1","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
